"","probe","geneSymbol","geneName","geneEntrezID","geneEnsembl","T16.T0","T52.T0","AveExpr","F","P.Value","adj.P.Val"
"TC07002986.hg.1","TC07002986.hg.1",NA,NA,NA,NA,-0.157622658051571,-0.0762633582421275,6.36848513122869,9.08954838852005,0.000237181711844968,0.999968912176812
"TC20000742.hg.1","TC20000742.hg.1","MIR663A","microRNA 663a","724033","ENSG00000284419",-0.203483505668792,-0.127613995214281,8.26558794680419,6.34942342933112,0.00254171400148541,0.999968912176812
"TC07002780.hg.1","TC07002780.hg.1","C7orf26","chromosome 7 open reading frame 26","79034","ENSG00000146576",-0.180859773126413,-0.119558659557213,5.97488735706643,6.14199679822405,0.00305592144874335,0.999968912176812
"TC11000559.hg.1","TC11000559.hg.1","SNORA57","small nucleolar RNA, H/ACA box 57","692158","ENSG00000206597",0.3009879820073,0.169449955452587,8.43809523514148,5.73045311608396,0.00441348049657388,0.999968912176812
"TC09001040.hg.1","TC09001040.hg.1","DCTN3","dynactin subunit 3","11258","ENSG00000137100",-0.0798113687035231,-0.0523516047959092,5.39226738925702,5.60854579276011,0.0049237647934372,0.999968912176812
"TC03002884.hg.1","TC03002884.hg.1","LIMD1-AS1","LIMD1 antisense RNA 1","644714",NA,-0.147701896407736,-0.120165686063634,5.22994527999111,5.49269665693769,0.0054644863226857,0.999968912176812
"TC01003990.hg.1","TC01003990.hg.1","SNORA14B","small nucleolar RNA, H/ACA box 14B","677802","ENSG00000207181",0.333343303316605,0.232771489102437,5.12910423700775,5.4441845840268,0.00570856551150273,0.999968912176812
"TC16002070.hg.1","TC16002070.hg.1","PAGR1","PAXIP1 associated glutamate rich protein 1","79447","ENSG00000280789",-0.0719824069451205,-0.0608723295373839,6.3760744775175,5.33137487970025,0.00632007467138425,0.999968912176812
"TC12002888.hg.1","TC12002888.hg.1","KRT5","keratin 5","3852","ENSG00000186081",0.12502313232053,0.0525748058356266,5.79412594164634,5.32454348931624,0.00635918472637128,0.999968912176812
"TC17000796.hg.1","TC17000796.hg.1","SNORA38B","small nucleolar RNA, H/ACA box 38B","100124536","ENSG00000200394",0.548676560627453,0.265281818828266,6.59460127570394,5.12010857093907,0.00765128024049983,0.999968912176812
