"","probe","geneSymbol","geneName","geneEntrezID","geneEnsembl","T16.T0","T52.T0","AveExpr","F","P.Value","adj.P.Val"
"TC19000260.hg.1","TC19000260.hg.1","CLEC17A","C-type lectin domain containing 17A","388512","ENSG00000187912",-0.365074601075655,-0.406336587173524,5.71955396841317,34.1922726057248,1.05323756088e-12,3.10587321913013e-08
"TC14002143.hg.1","TC14002143.hg.1",NA,NA,NA,NA,-0.868800120157878,-1.12697213023488,5.73833596865181,33.367361026961,1.81949221975989e-12,3.10587321913013e-08
"TC14001478.hg.1","TC14001478.hg.1","TCL1A","T-cell leukemia/lymphoma 1A","8115","ENSG00000100721",-0.651757242580848,-0.860615029232566,6.09539427227515,32.6321511016046,2.97315261936234e-12,3.38344768083435e-08
"TC06002859.hg.1","TC06002859.hg.1","COL19A1","collagen type XIX alpha 1 chain","1310","ENSG00000082293",-0.225284945781905,-0.324828042018895,5.01837519776131,30.0439265914493,1.72507935268371e-11,8.78014513312496e-08
"TC03000572.hg.1","TC03000572.hg.1","CD200","CD200 molecule","4345","ENSG00000091972",-0.226020770616869,-0.355927319043611,4.51863910727973,28.5500764443724,4.86315329235875e-11,2.0753506675141e-07
"TC08001144.hg.1","TC08001144.hg.1","PLPP5","phospholipid phosphatase 5","84513","ENSG00000147535",-0.302300084062217,-0.31468204524391,6.14839905759459,27.8676656560208,7.85047482954893e-11,2.56963624486397e-07
"TC19000588.hg.1","TC19000588.hg.1","CD79A","CD79a molecule","973","ENSG00000105369",-0.672704398064107,-1.07908523547043,7.8905146599245,27.8378346799059,8.01718337390689e-11,2.56963624486397e-07
"TC19001116.hg.1","TC19001116.hg.1","FCER2","Fc fragment of IgE receptor II","2208","ENSG00000104921",-0.423004909964631,-0.585543151720008,6.4503118190439,27.7921580314057,8.27943722715396e-11,2.56963624486397e-07
"TC11002278.hg.1","TC11002278.hg.1","POU2AF1","POU class 2 associating factor 1","5450","ENSG00000110777",-0.265597827794835,-0.421375155025077,6.14171952706619,27.5497772762545,9.82411188408641e-11,2.79495983102258e-07
"TC09001054.hg.1","TC09001054.hg.1","CD72","CD72 molecule","971","ENSG00000137101",-0.30184118329621,-0.393269142538288,5.45692079329205,26.6827966185714,1.8180726276779e-10,4.13793330059489e-07
"TC10001555.hg.1","TC10001555.hg.1","BLNK","B-cell linker","29760","ENSG00000095585",-0.396303617215379,-0.572533113603847,5.68719149674884,26.3418794654641,2.31958205774306e-10,4.94940821570926e-07
"TC15000436.hg.1","TC15000436.hg.1","LINC00926","long intergenic non-protein coding RNA 926","283663","ENSG00000247982",-0.402114798418062,-0.583760254138639,5.78627016458488,25.4285425955173,4.47485316429401e-10,8.48730483494431e-07
"TC09002474.hg.1","TC09002474.hg.1","PAX5","paired box 5","5079","ENSG00000196092",-0.445189644383913,-0.711232091794693,6.34613655157453,25.0087416623337,6.06593707021617e-10,1.0354554578859e-06
"TC14002285.hg.1","TC14002285.hg.1","IGHV5-78","immunoglobulin heavy variable 5-78 (pseudogene)","28387",NA,-0.293829642448146,-0.460357477442364,5.69528123808192,24.8858028997461,6.63290707943398e-10,1.07832117948512e-06
"TC19002611.hg.1","TC19002611.hg.1","CD22","CD22 molecule","933","ENSG00000012124",-0.610078332769198,-0.97085547647176,7.32818692808961,24.4682789488863,8.99265728197092e-10,1.39549690730221e-06
"TC01001411.hg.1","TC01001411.hg.1","FCRLA","Fc receptor like A","84824","ENSG00000132185",-0.267288465241219,-0.43545364399699,4.92783877201133,23.8831351465167,1.38090882678286e-09,2.04974901505942e-06
"TC12003256.hg.1","TC12003256.hg.1","LINC02397","long intergenic non-protein coding RNA 2397","100507616","ENSG00000205056",-0.390540418630865,-0.507912611338253,4.5730814394809,23.5648392107902,1.74582356077349e-09,2.38409665459227e-06
"TC14002264.hg.1","TC14002264.hg.1","SKAP2","src kinase associated phosphoprotein 2","8935","ENSG00000005020",-0.508350226976225,-0.643900631766154,6.28684065488149,22.9672946744245,2.7174114383281e-09,3.09241421681738e-06
"TC14002214.hg.1","TC14002214.hg.1","IGHA1","immunoglobulin heavy constant alpha 1","3493",NA,-0.754932667677535,-1.1428272410102,6.61529062032635,22.1412210062704,5.03415762857478e-09,5.05488651292774e-06
"TC19000339.hg.1","TC19000339.hg.1","FAM129C","family with sequence similarity 129 member C","199786","ENSG00000167483",-0.246326012431899,-0.324993339632007,6.2032973994162,21.7518114919069,6.74561580661641e-09,6.57986638965384e-06
"TC17001792.hg.1","TC17001792.hg.1","CD79B","CD79b molecule","974","ENSG00000007312",-0.296410229772778,-0.423136377581725,6.61803246957084,21.6086818188165,7.51410412858722e-09,7.12587541527688e-06
"TC04000362.hg.1","TC04000362.hg.1","STAP1","signal transducing adaptor family member 1","26228","ENSG00000035720",-0.52166521647831,-0.720440401839322,5.10750920239063,20.5170099827203,1.72099704500564e-08,1.46887097791231e-05
"TC14002286.hg.1","TC14002286.hg.1","IGHV7-81","immunoglobulin heavy variable 7-81 (non-functional)","28378",NA,-0.469200080107671,-0.56026031080343,6.66421943831946,20.0380242539254,2.48383010402501e-08,1.97204557561428e-05
"TC01003367.hg.1","TC01003367.hg.1","FCRL1","Fc receptor like 1","115350","ENSG00000163534",-0.589956146145186,-0.873842082912891,6.316420301977,19.545388058697,3.63018450168143e-08,2.75409997527564e-05
"TC02002136.hg.1","TC02002136.hg.1","AFF3","AF4/FMR2 family member 3","3899","ENSG00000144218",-0.274945961901695,-0.43050262487587,5.8994001326399,17.8407700741935,1.37269883339067e-07,7.90793371667893e-05
"TC19000758.hg.1","TC19000758.hg.1","SPIB","Spi-B transcription factor","6689","ENSG00000269404",-0.198829060301219,-0.317318349850747,5.00893701512362,17.8250670368002,1.38979502929331e-07,7.90793371667893e-05
"TC16000312.hg.1","TC16000312.hg.1","CD19","CD19 molecule","930","ENSG00000177455",-0.158739469633468,-0.266186140858063,5.62606081490887,17.685827613797,1.55116974173457e-07,8.68146475128167e-05
"TC02004396.hg.1","TC02004396.hg.1","IGKC","immunoglobulin kappa constant","3514",NA,-0.836218146692724,-1.0572097600492,6.6960660593028,17.6069354121575,1.65091910113909e-07,9.09070614724007e-05
"TC14002189.hg.1","TC14002189.hg.1","ADAM6","ADAM metallopeptidase domain 6 (pseudogene)","8755",NA,-0.604010438535929,-0.777747111020163,7.41003033952324,17.1229856365874,2.4228053814916e-07,0.000119876196701628
"TC11002153.hg.1","TC11002153.hg.1","RAB30","RAB30, member RAS oncogene family","27314","ENSG00000137502",-0.257631189978896,-0.328128564778665,4.99995817214036,16.9035809513459,2.88511940164326e-07,0.000136802744961251
"TC22000567.hg.1","TC22000567.hg.1","VPREB3","V-set pre-B cell surrogate light chain 3","29802","ENSG00000128218",-0.224828424094643,-0.380632143462831,6.06644988917484,16.8285532776545,3.06299092484955e-07,0.000143247274211457
"TC12001363.hg.1","TC12001363.hg.1","DENND5B","DENN domain containing 5B","160518","ENSG00000170456",-0.159843641544129,-0.242309156997173,4.56825448079306,16.4422780707029,4.17141967803239e-07,0.000180268693427881
"TC12000967.hg.1","TC12000967.hg.1","BCL7A","BCL tumor suppressor 7A","605",NA,-0.134092727938199,-0.167613746831773,5.67979324295376,16.0425838613233,5.75098453538572e-07,0.000228300711672173
"TC16001444.hg.1","TC16001444.hg.1","SNX29P1","sorting nexin 29 pseudogene 1","100652781",NA,-0.276312470794868,-0.307331513776564,7.27056236703716,15.8432768678022,6.75360753702252e-07,0.000262327548712309
"TC02000221.hg.1","TC02000221.hg.1","RASGRP3","RAS guanyl releasing protein 3","25780","ENSG00000152689",-0.295763561897895,-0.299086242307911,5.31788270570112,15.5484250820056,8.5723198558287e-07,0.000306195186489146
"TC6_dbb_hap3000187.hg.1","TC6_dbb_hap3000187.hg.1","HLA-DOA","major histocompatibility complex, class II, DO alpha","3111",NA,-0.229769443151288,-0.384450702877141,6.18365624530002,15.5391972543077,8.63665405907921e-07,0.000306195186489146
"TC07001184.hg.1","TC07001184.hg.1","CDCA7L","cell division cycle associated 7 like","55536","ENSG00000164649",-0.300814593870149,-0.422437534365759,5.47609988837501,15.4459260988865,9.31508935366817e-07,0.00032189611863338
"TC11000510.hg.1","TC11000510.hg.1","MS4A1","membrane spanning 4-domains A1","931","ENSG00000156738",-0.611578100037371,-1.08782806470767,6.80777653097239,15.2443641663602,1.09720204855966e-06,0.000359062276843004
"TC20000365.hg.1","TC20000365.hg.1","CD40","CD40 molecule","958","ENSG00000101017",-0.159486108098,-0.195740040015045,5.55731570383508,14.6720174395977,1.75040785593307e-06,0.000502175833626513
"TC02001885.hg.1","TC02001885.hg.1","BCL11A","B-cell CLL/lymphoma 11A","53335","ENSG00000119866",-0.179013645867945,-0.25375073837724,5.92211180267531,14.6538345733873,1.77667146648233e-06,0.000505463032214223
"TC06004125.hg.1","TC06004125.hg.1","HLA-DOB","major histocompatibility complex, class II, DO beta","3112",NA,-0.399501579087231,-0.50297500742628,5.56323746756546,14.6272210473776,1.81583553283359e-06,0.000505726497463599
"TC05001995.hg.1","TC05001995.hg.1","EBF1","early B-cell factor 1","1879","ENSG00000164330",-0.236451310849672,-0.414965704053358,5.01857468129425,14.1660224241517,2.65260138352086e-06,0.000656230516184073
"TC01003733.hg.1","TC01003733.hg.1","PIK3C2B","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta","5287","ENSG00000133056",-0.148372931301719,-0.205576764760326,5.61121048801639,14.0803741940572,2.84670470330099e-06,0.000687767603406865
"TC02004950.hg.1","TC02004950.hg.1","IGK","immunoglobulin kappa locus","50802",NA,-0.607896584522088,-0.758767356262012,6.93316001105268,13.9146421138511,3.26425073150176e-06,0.000758105578050816
"TC08001801.hg.1","TC08001801.hg.1","BLK","BLK proto-oncogene, Src family tyrosine kinase","640","ENSG00000136573",-0.159162256595502,-0.345651309407811,6.04958613990628,13.5180009408444,4.53462757275358e-06,0.000986064874737625
"TC07000111.hg.1","TC07000111.hg.1","TSPAN13","tetraspanin 13","27075","ENSG00000106537",-0.247136787254234,-0.352005662454709,5.43541561329138,13.4254756845322,4.8971683204989e-06,0.00104493329038645
"TC01001544.hg.1","TC01001544.hg.1","RALGPS2","Ral GEF with PH domain and SH3 binding motif 2","55103","ENSG00000116191",-0.313699761634481,-0.543498149051189,6.27054045696586,13.1594024584609,6.11250011826121e-06,0.00124214734546094
"TC20000648.hg.1","TC20000648.hg.1","LOC613266","uncharacterized LOC613266","613266",NA,-0.142112997595818,-0.145513256199397,4.55452896762309,12.8578629591031,7.86530689971302e-06,0.00151707105963956
"TC0X000992.hg.1","TC0X000992.hg.1","SLC9A7","solute carrier family 9 member A7","84679","ENSG00000065923",-0.220420145257009,-0.326481497578749,5.79302789034419,12.7905620005824,8.32168499370877e-06,0.00159608048137763
"TC17002885.hg.1","TC17002885.hg.1","P2RX5","purinergic receptor P2X 5","5026","ENSG00000083454",-0.157277425842796,-0.252328689087587,6.33929708793559,12.7329118610159,8.73395234126237e-06,0.00166579403871898
"TC11001073.hg.1","TC11001073.hg.1","CXCR5","C-X-C motif chemokine receptor 5","643","ENSG00000160683",-0.139962395170967,-0.231171806817006,5.49441619522581,12.5814670112006,9.91856541039093e-06,0.00186408250111963
"TC11001852.hg.1","TC11001852.hg.1","CYB561A3","cytochrome b561 family member A3","220002","ENSG00000162144",-0.122728778689001,-0.174493498267774,6.49469271161389,12.5435129014296,1.02402099293401e-05,0.00189567099783108
