Probe_ID	Gene Symbol	Gene Title	CDF
1427747_a_at	Lcn2	lipocalin 2	Affy_mouse4302
1434716_at	Havcr1	hepatitis A virus cellular receptor 1	Affy_mouse4302
1450364_a_at	Havcr1	hepatitis A virus cellular receptor 1	Affy_mouse4302
1426808_at	Lgals3	"lectin, galactose binding, soluble 3"	Affy_mouse4302
1422046_at	Itgam	integrin alpha M	Affy_mouse4302
1433889_at	Sox9	SRY-box containing gene 9	Affy_mouse4302
1451538_at	Sox9	SRY-box containing gene 9	Affy_mouse4302
1424950_at	Sox9	SRY-box containing gene 9	Affy_mouse4302
1424351_at	Wfdc2	WAP four-disulfide core domain 2	Affy_mouse4302
1427420_at	Nkx6-2	"NK6 transcription factor related, locus 2 (Drosophila)"	Affy_mouse4302
