Probe set	Gene Symbol	CDF
1417009_at	C1r	Affy_mouse4302
1424041_s_at	C1s_LOC100044326	Affy_mouse4302
1417381_at	C1qa	Affy_mouse4302
1437726_x_at	C1qb	Affy_mouse4302
1449401_at	C1qc	Affy_mouse4302
1422777_at	C1ql1	Affy_mouse4302
1444687_at	C1ql2	Affy_mouse4302
1448274_at	C1qbp	Affy_mouse4302
1457664_x_at	C2	Affy_mouse4302
1423954_at	C3	Affy_mouse4302
1418021_at	C4b	Affy_mouse4302
1418037_at	C4bp	Affy_mouse4302
1419407_at	Hc (C5)	Affy_mouse4302
1449308_at	C6	Affy_mouse4302
1418724_at	Cfi	Affy_mouse4302
1423153_x_at	Cfh	Affy_mouse4302
1428012_at	C8a	Affy_mouse4302
1427472_a_at	C8b	Affy_mouse4302
1451625_a_at	C8g	Affy_mouse4302
1422815_at	C9	Affy_mouse4302
1419483_at	C3ar1	Affy_mouse4302
1422190_at	C5ar1	Affy_mouse4302
