"","CTL.Fu2010.080.N2T","CTL.Fu2010.080.I1T","AGN.Fu2010.080.K2T","AGN.Fu2010.080.K4T","TGN.Fu2010.080.T1T","CGN.Fu2010.080.T13T","CTL.Fu2010.080.N1T","CTL.Fu2010.080.I2T","TGN.Fu2010.080.B4T","AGN.Fu2010.080.B5T","TGN.Fu2010.080.T6T","CGN.Fu2010.080.T7T"
"1422046_at",2.28754254406441,2.28754254406441,2.28754254406441,2.28955354050004,2.63308342043182,2.33696677089732,2.28754254406441,2.28754254406441,2.28754254406441,2.28754254406441,2.45222083548756,2.28754254406441
"1424351_at",8.25851608326956,8.6202072450943,9.13771402151557,8.01772178257206,8.86603819996442,8.60360141654862,8.55300939337011,9.01115476367303,8.77814238186822,9.14492148209468,7.25837128621211,9.58524850322036
"1424950_at",2.5828461298642,2.28754254406441,2.28754254406441,2.28754254406441,2.28754254406441,2.28754254406441,2.28754254406441,2.28754254406441,2.28754254406441,2.28754254406441,2.28943048699972,2.28754254406441
"1426808_at",10.6059096787343,7.01030945224758,6.86950779997148,6.75011046452407,7.91728855032158,7.92787568364122,5.95829156229751,7.14337516287808,7.28637043386421,9.73082400151476,5.88062119130016,9.92797973237969
"1427420_at",2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724,2.31017273652724
"1427747_a_at",2.93400407576064,2.32723898713702,2.32723898713702,2.28754254406441,2.32723898713702,2.32723898713702,2.28754254406441,2.32723898713702,2.32723898713702,5.9512217254646,2.32723898713702,6.99659890993251
"1433889_at",2.79811220227951,2.38881505140667,2.38881505140667,2.38881505140667,3.13769385985371,2.38881505140667,2.38881505140667,2.38881505140667,2.38881505140667,2.60095244178141,2.38881505140667,2.38881505140667
"1434716_at",13.3041190164559,3.94883418502532,4.406084701064,4.42503495567712,6.13424985187148,4.67709069588733,4.8523836460052,5.15226713908665,8.68346056932189,12.3688043806365,7.16317611789877,12.0879244557848
"1450364_a_at",8.58386918528616,2.54477147824298,2.33135831787179,2.33135831787179,2.30509242050369,2.33135831787179,2.33135831787179,2.33135831787179,2.6818623533599,6.50750587431916,2.33135831787179,5.90214914751941
"1451538_at",2.4209627911121,2.31159622685866,2.31941289111965,2.31252657319158,2.31941289111965,2.31941289111965,2.31275995792822,2.31941289111965,2.62322866297793,2.55896598514147,2.31159622685866,2.66918362854794
